Invoice ID,Branch,City,Customer type,Gender,Product line,Date,MonthName,Payment,Rating,Unit price,Quantity,Total Sales
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,23-01-2019,January,Ewallet,6.6,19.25,8,161.7
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,23-02-2019,February,Credit card,8.3,80.36,4,337.512
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,09-03-2019,March,Cash,6.6,48.91,5,256.7775
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,05-03-2019,March,Ewallet,4,83.06,7,610.491
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,25-03-2019,March,Cash,9.9,76.52,5,401.73
633-44-8566,A,Yangon,Member,Male,Food and beverages,27-03-2019,March,Credit card,7.3,49.38,7,362.943
504-35-8843,A,Yangon,Normal,Male,Sports and travel,02-01-2019,January,Cash,5.7,42.47,1,44.5935
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,27-02-2019,February,Cash,6.1,76.99,6,485.037
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,23-01-2019,January,Cash,7.1,47.38,4,198.996
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,26-01-2019,January,Ewallet,8.2,44.86,10,471.03
873-51-0671,A,Yangon,Member,Female,Sports and travel,10-01-2019,January,Ewallet,5.1,21.98,7,161.553
152-08-9985,B,Mandalay,Member,Male,Health and beauty,12-03-2019,March,Credit card,8.6,64.36,9,608.202
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,06-02-2019,February,Credit card,6.6,89.75,1,94.2375
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,08-03-2019,March,Ewallet,7.2,97.16,1,102.018
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,29-03-2019,March,Ewallet,5.1,87.87,10,922.635
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,09-02-2019,February,Cash,4.1,12.45,6,78.435
865-92-6136,A,Yangon,Normal,Male,Food and beverages,23-03-2019,March,Ewallet,9.3,52.75,3,166.1625
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,05-03-2019,March,Cash,7.4,82.7,6,521.01
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,26-03-2019,March,Cash,4.1,48.71,1,51.1455
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,01-03-2019,March,Cash,7.2,78.55,9,742.2975
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,01-02-2019,February,Cash,4.9,23.07,9,218.0115
212-62-1842,A,Yangon,Normal,Male,Food and beverages,28-03-2019,March,Cash,9.9,58.26,6,367.038
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,19-03-2019,March,Cash,8,30.35,7,223.0725
704-48-3927,A,Yangon,Member,Male,Electronic accessories,12-01-2019,January,Ewallet,7.3,88.67,10,931.035
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,05-01-2019,January,Credit card,7.9,27.38,6,172.494
630-74-5166,A,Yangon,Normal,Male,Sports and travel,22-03-2019,March,Cash,7.4,62.13,6,391.419
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,24-03-2019,March,Cash,4.2,33.98,9,321.111
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,03-03-2019,March,Cash,9.2,81.97,10,860.685
479-26-8945,B,Mandalay,Member,Female,Sports and travel,05-02-2019,February,Ewallet,4.6,16.49,2,34.629
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,05-02-2019,February,Credit card,7.8,98.21,3,309.3615
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,15-02-2019,February,Cash,8.4,72.84,7,535.374
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,19-01-2019,January,Ewallet,4.3,58.07,9,548.7615
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,01-02-2019,February,Credit card,9.5,80.79,9,763.4655
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,02-03-2019,March,Credit card,7.1,27.02,3,85.113
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,05-03-2019,March,Ewallet,5.3,21.94,5,115.185
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,16-01-2019,January,Ewallet,5.2,51.36,1,53.928
642-32-2990,A,Yangon,Normal,Female,Food and beverages,02-02-2019,February,Ewallet,6,10.96,10,115.08
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,20-01-2019,January,Ewallet,4.1,53.44,2,112.224
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,14-02-2019,February,Credit card,5.2,99.56,8,836.304
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,12-01-2019,January,Credit card,6.5,57.12,7,419.832
219-22-9386,B,Mandalay,Member,Male,Sports and travel,09-03-2019,March,Credit card,4.2,99.96,9,944.622
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,13-03-2019,March,Credit card,4.6,63.91,8,536.844
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,09-03-2019,March,Ewallet,7.3,56.47,8,474.348
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,10-03-2019,March,Credit card,4.5,93.69,7,688.6215
870-54-3162,A,Yangon,Normal,Female,Sports and travel,27-01-2019,January,Cash,9,32.25,5,169.3125
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,08-01-2019,January,Credit card,5.9,31.73,9,299.8485
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,08-01-2019,January,Ewallet,8.5,68.54,8,575.736
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,08-02-2019,February,Ewallet,7.2,90.28,9,853.146
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,25-01-2019,January,Cash,7.5,39.62,7,291.207
802-70-5316,A,Yangon,Member,Female,Sports and travel,06-03-2019,March,Cash,8.3,92.13,6,580.419
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,10-02-2019,February,Cash,7.4,34.84,4,146.328
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,17-02-2019,February,Credit card,8.8,87.45,6,550.935
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,08-03-2019,March,Ewallet,5.3,81.3,6,512.19
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,18-02-2019,February,Cash,6.2,90.22,3,284.193
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,18-01-2019,January,Credit card,8.8,26.31,5,138.1275
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,18-02-2019,February,Cash,9.8,34.42,6,216.846
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,16-02-2019,February,Cash,8.2,51.91,10,545.055
575-30-8091,A,Yangon,Normal,Male,Sports and travel,16-03-2019,March,Ewallet,9.2,72.5,8,609
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,23-01-2019,January,Credit card,5.4,89.8,10,942.9
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,25-01-2019,January,Cash,8.1,90.5,10,950.25
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,05-02-2019,February,Cash,9.1,68.6,10,720.3
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,22-02-2019,February,Credit card,8.4,30.41,1,31.9305
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,21-01-2019,January,Ewallet,8,77.95,6,491.085
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,08-03-2019,March,Credit card,9.5,46.26,6,291.438
685-64-1609,A,Yangon,Member,Female,Fashion accessories,10-02-2019,February,Ewallet,9.2,30.14,10,316.47
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,19-03-2019,March,Credit card,5.6,66.14,4,277.788
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,06-03-2019,March,Credit card,6.2,71.86,8,603.624
238-49-0436,A,Yangon,Normal,Male,Health and beauty,27-03-2019,March,Credit card,4.9,32.46,8,272.664
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,23-03-2019,March,Credit card,4.8,91.54,4,384.468
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,11-03-2019,March,Credit card,7.3,34.56,7,254.016
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,29-01-2019,January,Credit card,7.4,83.24,9,786.618
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,07-02-2019,February,Ewallet,9.9,16.48,6,103.824
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,28-01-2019,January,Cash,9.3,80.97,8,680.148
782-95-9291,A,Yangon,Member,Male,Food and beverages,20-02-2019,February,Credit card,9,92.29,5,484.5225
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,04-01-2019,January,Cash,6.1,72.17,1,75.7785
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,07-03-2019,March,Ewallet,9.7,50.28,5,263.97
743-04-1105,B,Mandalay,Member,Male,Health and beauty,30-03-2019,March,Ewallet,6,97.22,9,918.729
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,27-03-2019,March,Ewallet,10,93.39,6,588.357
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,19-01-2019,January,Credit card,8.3,43.18,8,362.712
275-28-0149,A,Yangon,Normal,Male,Sports and travel,25-02-2019,February,Cash,6,63.69,1,66.8745
101-17-6199,A,Yangon,Normal,Male,Food and beverages,13-03-2019,March,Credit card,7,45.79,7,336.5565
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,30-01-2019,January,Ewallet,6.5,76.4,2,160.44
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,20-02-2019,February,Credit card,5.9,39.9,10,418.95
505-02-0892,B,Mandalay,Member,Male,Health and beauty,25-02-2019,February,Ewallet,5.6,42.57,8,357.588
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,16-01-2019,January,Cash,4.8,95.58,10,1003.59
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,08-02-2019,February,Credit card,8.7,98.98,10,1039.29
796-32-9050,A,Yangon,Normal,Male,Food and beverages,19-01-2019,January,Cash,6.5,51.28,6,323.064
105-31-1824,A,Yangon,Member,Male,Sports and travel,01-02-2019,February,Credit card,8.5,69.52,7,510.972
249-42-3782,A,Yangon,Normal,Male,Health and beauty,03-01-2019,January,Ewallet,5.5,70.01,5,367.5525
316-55-4634,B,Mandalay,Member,Male,Food and beverages,26-01-2019,January,Credit card,9.4,80.05,5,420.2625
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,03-03-2019,March,Cash,6.3,20.85,8,175.14
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,19-01-2019,January,Credit card,9.8,52.89,6,333.207
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,18-01-2019,January,Ewallet,8.7,19.79,8,166.236
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,21-03-2019,March,Ewallet,8.8,33.84,9,319.788
175-54-2529,A,Yangon,Member,Male,Food and beverages,03-03-2019,March,Credit card,9.6,22.17,8,186.228
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,13-02-2019,February,Credit card,4.8,22.51,7,165.4485
407-63-8975,A,Yangon,Normal,Male,Food and beverages,23-03-2019,March,Ewallet,4.4,73.88,6,465.444
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,28-01-2019,January,Ewallet,9.9,86.8,3,273.42
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,09-02-2019,February,Cash,5.7,64.26,7,472.311
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,23-01-2019,January,Cash,7.7,38.47,8,323.148
851-28-6367,A,Yangon,Member,Male,Sports and travel,23-03-2019,March,Ewallet,8,15.5,10,162.75
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,25-01-2019,January,Ewallet,5.7,34.31,8,288.204
586-25-0848,A,Yangon,Normal,Female,Sports and travel,04-03-2019,March,Credit card,6.7,12.34,7,90.699
895-66-0685,B,Mandalay,Member,Male,Food and beverages,05-03-2019,March,Ewallet,8,18.08,3,56.952
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,03-03-2019,March,Ewallet,7.5,94.49,8,793.716
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,08-02-2019,February,Cash,7,46.47,4,195.174
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,10-02-2019,February,Ewallet,9.9,74.07,1,77.7735
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,28-01-2019,January,Credit card,5.9,69.81,4,293.202
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,11-02-2019,February,Credit card,7.2,77.04,3,242.676
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,15-01-2019,January,Ewallet,4.6,73.52,2,154.392
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,16-03-2019,March,Cash,9.2,87.8,9,829.71
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,26-01-2019,January,Ewallet,5.7,25.55,4,107.31
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,19-03-2019,March,Credit card,9.9,32.71,5,171.7275
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,13-01-2019,January,Cash,5,74.29,1,78.0045
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,26-03-2019,March,Cash,4.9,43.7,2,91.77
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,23-03-2019,March,Ewallet,6.1,25.29,1,26.5545
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,12-03-2019,March,Credit card,8.2,41.5,4,174.3
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,17-02-2019,February,Credit card,5.5,71.39,5,374.7975
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,29-01-2019,January,Credit card,6.8,19.15,6,120.645
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,15-03-2019,March,Cash,6.6,57.49,4,241.458
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,14-01-2019,January,Cash,9.8,61.41,7,451.3635
875-46-5808,B,Mandalay,Member,Male,Health and beauty,06-02-2019,February,Ewallet,8.7,25.9,10,271.95
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,15-02-2019,February,Credit card,5.4,17.77,5,93.2925
749-24-1565,A,Yangon,Normal,Female,Health and beauty,03-01-2019,January,Ewallet,7.9,23.03,9,217.6335
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,04-01-2019,January,Credit card,9.7,66.65,9,629.8425
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,18-03-2019,March,Ewallet,7.8,28.53,10,299.565
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,28-03-2019,March,Ewallet,5.1,30.37,3,95.6655
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,02-03-2019,March,Credit card,6.5,99.73,9,942.4485
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,25-01-2019,January,Ewallet,5.9,26.23,9,247.8735
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,16-01-2019,January,Cash,8.8,93.26,9,881.307
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,20-03-2019,March,Ewallet,4.9,92.36,5,484.89
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,04-01-2019,January,Credit card,4.4,46.42,3,146.223
891-58-8335,B,Mandalay,Member,Female,Sports and travel,11-03-2019,March,Cash,6.5,29.61,7,217.6335
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,22-03-2019,March,Credit card,8.3,18.28,1,19.194
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24-03-2019,March,Cash,8.5,24.77,5,130.0425
319-74-2561,A,Yangon,Member,Female,Electronic accessories,21-02-2019,February,Cash,5.5,94.64,3,298.116
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,12-02-2019,February,Ewallet,8.7,94.87,8,796.908
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,10-03-2019,March,Credit card,7.9,57.34,3,180.621
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,31-01-2019,January,Ewallet,6.1,45.35,6,285.705
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,06-03-2019,March,Ewallet,5.4,62.08,7,456.288
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,17-02-2019,February,Cash,9.4,11.81,5,62.0025
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,21-02-2019,February,Cash,8.2,12.54,1,13.167
213-72-6612,A,Yangon,Normal,Male,Food and beverages,20-03-2019,March,Cash,6.2,43.25,2,90.825
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,11-01-2019,January,Credit card,9.7,87.16,2,183.036
836-82-5858,B,Mandalay,Member,Male,Health and beauty,26-01-2019,January,Ewallet,4,69.37,9,655.5465
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,31-01-2019,January,Ewallet,9.7,37.06,4,155.652
466-61-5506,B,Mandalay,Member,Female,Electronic accessories,26-02-2019,February,Cash,5.3,90.7,6,571.41
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,11-03-2019,March,Ewallet,7.4,63.42,8,532.728
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,26-01-2019,January,Cash,6.5,81.37,2,170.877
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,12-03-2019,March,Credit card,8.7,10.59,3,33.3585
418-02-5978,B,Mandalay,Normal,Female,Health and beauty,11-02-2019,February,Cash,8,84.09,9,794.6505
269-04-5750,B,Mandalay,Member,Male,Fashion accessories,21-02-2019,February,Cash,6.7,73.82,4,310.044
157-13-5295,A,Yangon,Member,Male,Health and beauty,09-03-2019,March,Ewallet,6.5,51.94,10,545.37
645-78-8093,A,Yangon,Normal,Female,Sports and travel,20-01-2019,January,Ewallet,4.1,93.14,2,195.594
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,28-01-2019,January,Credit card,4.9,17.41,5,91.4025
755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories,05-03-2019,March,Credit card,8.6,44.22,5,232.155
346-84-3103,B,Mandalay,Member,Female,Electronic accessories,02-03-2019,March,Cash,4.3,13.22,5,69.405
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,11-01-2019,January,Ewallet,4.9,89.69,1,94.1745
